1ag,2013-02-18,0.033,0.033,0.033,0.033,42336.000
3dp,2013-02-18,0.174,0.174,0.174,0.174,11494.000
4ce,2013-02-18,1.486,1.560,1.560,1.486,3692.000
88e,2013-02-18,0.298,0.298,0.298,0.298,123515.000
a1m,2013-02-18,4.800,4.600,5.100,4.600,108999.000
a2b,2013-02-18,5.140,5.060,5.190,5.055,373936.000
aac,2013-02-18,1.227,1.246,1.260,1.227,355338.000
aaj,2013-02-18,0.051,0.051,0.051,0.051,58593.000
aar,2013-02-18,0.060,0.070,0.070,0.060,79969.000
aba,2013-02-18,6.960,7.150,7.150,6.950,17737.000
abc,2013-02-18,3.400,3.400,3.420,3.365,1715541.000
abl,2013-02-18,0.080,0.068,0.080,0.068,147444.000
abp,2013-02-18,2.211,2.181,2.211,2.171,434630.000
abv,2013-02-18,0.182,0.165,0.182,0.157,417297.000
acb,2013-02-18,0.112,0.112,0.112,0.112,176946.000
acf,2013-02-18,64.000,60.000,65.000,60.000,2507.000
acr,2013-02-18,3.830,3.860,3.890,3.830,338728.000
acu,2013-02-18,0.355,0.350,0.355,0.350,35508.000
acw,2013-02-18,0.034,0.034,0.034,0.034,40072.000
adn,2013-02-18,0.031,0.031,0.031,0.031,149410.000
ado,2013-02-18,0.064,0.065,0.065,0.062,2073054.000
ads,2013-02-18,0.030,0.030,0.030,0.029,572519.000
adx,2013-02-18,0.022,0.022,0.023,0.022,740000.000
ady,2013-02-18,0.034,0.036,0.036,0.033,159323.000
aeb,2013-02-18,0.206,0.206,0.206,0.206,4694.000
aee,2013-02-18,0.150,0.155,0.155,0.150,205000.000
aef,2013-02-18,0.200,0.200,0.200,0.200,42500.000
aev,2013-02-18,0.143,0.143,0.148,0.143,283874.000
afi,2013-02-18,5.460,5.490,5.540,5.460,328202.000
afr,2013-02-18,0.163,0.149,0.163,0.149,442905.000
aft,2013-02-18,0.001,0.001,0.001,0.001,500000.000
agi,2013-02-18,3.230,3.190,3.240,3.180,269746.000
agj,2013-02-18,0.091,0.091,0.091,0.091,115180.000
agl,2013-02-18,14.661,14.584,14.661,14.517,1921084.000
agr,2013-02-18,0.775,0.775,0.775,0.775,21000.000
ags,2013-02-18,0.722,0.722,0.722,0.704,11297.000
ahz,2013-02-18,24.952,24.952,24.952,24.028,1710.000
aia,2013-02-18,2.257,2.237,2.257,2.237,527145.000
aib,2013-02-18,1.010,1.010,1.010,1.010,5523.000
aiq,2013-02-18,0.231,0.231,0.231,0.231,10196.000
air,2013-02-18,0.849,0.849,0.849,0.849,7837.000
ais,2013-02-18,0.545,0.545,0.545,0.545,20242.000
ajc,2013-02-18,0.011,0.011,0.011,0.011,461190.000
