88e,2006-05-30,0.270,0.293,0.293,0.270,15973.000
a1m,2006-05-30,23.760,23.520,23.760,23.040,3516.000
a2b,2006-05-30,6.140,6.320,6.360,6.140,130069.000
aac,2006-05-30,1.796,1.796,1.829,1.768,95831.000
aap,2006-05-30,0.382,0.391,0.391,0.382,110005.000
aar,2006-05-30,0.260,0.260,0.260,0.260,207819.000
aba,2006-05-30,9.152,9.033,9.152,9.033,6002.000
abc,2006-05-30,2.375,2.424,2.424,2.226,2875844.000
abp,2006-05-30,6.763,6.832,6.832,6.763,21581.000
ac8,2006-05-30,2.923,2.923,3.017,2.923,2499.000
acb,2006-05-30,0.277,0.307,0.319,0.277,873454.000
acr,2006-05-30,0.840,0.830,0.840,0.830,72797.000
acs,2006-05-30,0.130,0.130,0.130,0.130,25000.000
acu,2006-05-30,0.660,0.670,0.670,0.660,8000.000
ada,2006-05-30,0.430,0.420,0.430,0.420,39320.000
adn,2006-05-30,0.290,0.286,0.293,0.286,91890.000
ado,2006-05-30,0.121,0.121,0.121,0.121,4898.000
ads,2006-05-30,0.287,0.287,0.297,0.287,517317.000
adx,2006-05-30,0.099,0.099,0.099,0.099,400232.000
ady,2006-05-30,0.465,0.460,0.474,0.455,318869.000
aee,2006-05-30,0.194,0.194,0.209,0.185,5076953.000
aei,2006-05-30,0.570,0.570,0.580,0.570,66441.000
afi,2006-05-30,4.570,4.600,4.610,4.560,145114.000
afl,2006-05-30,85.466,87.409,87.409,83.524,337.000
aft,2006-05-30,0.010,0.009,0.010,0.009,1246057.000
agd,2006-05-30,0.664,0.646,0.692,0.636,221866.000
agg,2006-05-30,11.767,11.816,11.962,11.767,65209.000
agi,2006-05-30,0.382,0.406,0.406,0.382,138707.000
agj,2006-05-30,0.440,0.440,0.440,0.440,10001.000
ags,2006-05-30,1.175,1.193,1.193,1.103,124237.000
agy,2006-05-30,0.031,0.033,0.033,0.031,689396.000
ahl,2006-05-30,248.657,263.576,268.549,248.657,494.000
ahz,2006-05-30,40.428,43.479,43.479,40.428,71.000
aia,2006-05-30,1.711,1.711,1.711,1.711,188351.000
aiz,2006-05-30,1.015,1.030,1.040,1.015,23700.000
ajc,2006-05-30,0.047,0.047,0.047,0.047,27529.000
ajl,2006-05-30,0.591,0.612,0.619,0.591,49467.000
ajx,2006-05-30,0.626,0.569,0.626,0.541,83125.000
ald,2006-05-30,19.430,19.550,19.550,19.250,447392.000
alf,2006-05-30,0.910,0.910,0.910,0.910,26991.000
alk,2006-05-30,0.181,0.181,0.181,0.181,143992.000
all,2006-05-30,13.650,13.610,13.730,13.600,3210265.000
alq,2006-05-30,2.715,2.744,2.806,2.713,191872.000
alu,2006-05-30,0.344,0.344,0.344,0.344,16743.000
amb,2006-05-30,0.817,0.817,0.817,0.817,20797.000
amc,2006-05-30,5.789,5.720,5.789,5.720,3225956.000
amh,2006-05-30,0.570,0.580,0.590,0.570,19313.000
amo,2006-05-30,0.500,0.500,0.500,0.500,10000.000
amp,2006-05-30,9.100,9.000,9.140,8.990,2675354.000
ang,2006-05-30,0.278,0.278,0.278,0.278,466283.000
ann,2006-05-30,10.200,10.100,10.200,9.910,794490.000
anp,2006-05-30,0.162,0.156,0.162,0.156,151653.000
anz,2006-05-30,27.000,26.900,27.040,26.850,2882511.000
aop,2006-05-30,9.724,9.835,9.835,9.724,4231.000
apa,2006-05-30,3.774,3.774,3.811,3.774,144897.000
apd,2006-05-30,2.370,2.370,2.380,2.370,41985.000
ape,2006-05-30,1.441,1.443,1.443,1.439,70621.000
apg,2006-05-30,0.016,0.016,0.016,0.016,656250.000
aph,2006-05-30,1.188,1.159,1.198,1.159,88262.000
api,2006-05-30,1.973,1.998,1.998,1.964,434727.000
apw,2006-05-30,5.832,5.916,5.916,5.832,19739.000
apz,2006-05-30,11.527,11.683,11.761,11.527,56432.000
aqd,2006-05-30,0.715,0.720,0.720,0.690,324450.000
ara,2006-05-30,0.435,0.460,0.460,0.435,78429.000
arb,2006-05-30,3.160,3.150,3.200,3.100,261204.000
arc,2006-05-30,3.042,3.042,3.042,3.042,109.000
are,2006-05-30,0.113,0.113,0.113,0.109,238511.000
arg,2006-05-30,6.859,6.889,6.898,6.849,36528.000
aro,2006-05-30,0.975,0.877,0.975,0.877,2159.000
arq,2006-05-30,1.855,1.924,1.924,1.855,68726.000
aru,2006-05-30,0.282,0.290,0.290,0.282,81198.000
asb,2006-05-30,2.680,2.600,2.700,2.600,200917.000
ast,2006-05-30,1.181,1.181,1.195,1.181,4399796.000
asx,2006-05-30,29.683,30.264,30.264,29.653,1158041.000
ath,2006-05-30,0.200,0.200,0.200,0.200,7700.000
atp,2006-05-30,0.300,0.324,0.324,0.300,183051.000
atr,2006-05-30,3.270,3.270,3.270,3.270,3500.000
aub,2006-05-30,3.060,3.159,3.159,3.060,34188.000
aui,2006-05-30,7.356,7.366,7.366,7.277,1841.000
aur,2006-05-30,1.623,1.623,1.652,1.623,8009.000
aut,2006-05-30,0.167,0.167,0.180,0.167,167514.000
auz,2006-05-30,0.068,0.077,0.077,0.068,5607781.000
ave,2006-05-30,0.269,0.264,0.269,0.264,275474.000
avh,2006-05-30,1.236,1.191,1.236,1.191,40810.000
avj,2006-05-30,1.173,1.183,1.183,1.173,133844.000
awc,2006-05-30,5.696,5.639,5.720,5.622,7989493.000
ax1,2006-05-30,0.147,0.137,0.147,0.137,27485.000
axi,2006-05-30,0.160,0.171,0.171,0.155,584165.000
ayr,2006-05-30,1.579,1.670,1.670,1.579,14324.000
azs,2006-05-30,2.270,2.175,2.270,2.175,4217.000
azv,2006-05-30,0.461,0.451,0.461,0.451,87712.000
bar,2006-05-30,0.295,0.280,0.295,0.280,202000.000
bas,2006-05-30,0.032,0.030,0.032,0.030,133488.000
bbl,2006-05-30,0.250,0.250,0.250,0.250,4000.000
