88e,2002-09-06,1.352,1.352,1.352,1.352,2108.000
a2b,2002-09-06,3.020,3.020,3.040,3.020,14100.000
aac,2002-09-06,0.680,0.680,0.690,0.680,147890.000
aba,2002-09-06,6.317,6.267,6.317,6.267,6101.000
abc,2002-09-06,0.930,0.930,0.940,0.930,295801.000
abv,2002-09-06,1.458,1.458,1.458,1.458,4116.000
ac8,2002-09-06,13.201,13.201,13.201,13.201,3182.000
ada,2002-09-06,0.719,0.728,0.728,0.719,4597.000
add,2002-09-06,5.687,5.687,5.687,5.687,13.000
ado,2002-09-06,0.838,0.745,0.838,0.745,8861.000
adx,2002-09-06,0.322,0.312,0.322,0.312,32319.000
ady,2002-09-06,0.152,0.157,0.157,0.152,48372.000
afa,2002-09-06,1.001,0.957,1.001,0.957,7927.000
afi,2002-09-06,3.068,3.097,3.107,3.068,283038.000
aft,2002-09-06,0.014,0.014,0.014,0.014,290580.000
agg,2002-09-06,8.364,8.461,8.607,8.364,9932.000
agi,2002-09-06,0.905,0.896,0.905,0.896,76075.000
agy,2002-09-06,0.052,0.052,0.052,0.052,88420.000
ahl,2002-09-06,338.173,348.120,348.120,338.173,111.000
aiz,2002-09-06,2.440,2.343,2.489,2.343,69204.000
ajm,2002-09-06,0.126,0.126,0.126,0.126,337236.000
ajx,2002-09-06,10.157,10.064,10.157,10.064,5939.000
ald,2002-09-06,1.650,1.650,1.660,1.650,55771.000
alk,2002-09-06,0.206,0.225,0.225,0.206,38909.000
all,2002-09-06,5.190,5.230,5.230,5.150,569826.000
alq,2002-09-06,0.821,0.818,0.821,0.818,18511.000
alu,2002-09-06,1.395,1.386,1.405,1.386,16117.000
amc,2002-09-06,7.289,7.204,7.289,7.169,3281054.000
amh,2002-09-06,27.040,26.720,27.040,26.720,625.000
amp,2002-09-06,9.885,9.642,9.885,9.583,6614421.000
ann,2002-09-06,6.740,6.780,6.790,6.720,206432.000
anp,2002-09-06,0.660,0.690,0.690,0.660,4000.000
ans,2002-09-06,0.017,0.017,0.017,0.017,148478.000
anz,2002-09-06,18.009,18.191,18.191,17.904,4493138.000
apa,2002-09-06,2.283,2.274,2.283,2.228,128241.000
