1ag,2013-04-30,0.029,0.029,0.030,0.029,204399.000
3dp,2013-04-30,0.087,0.087,0.087,0.087,17241.000
4ce,2013-04-30,1.486,1.560,1.560,1.486,4392.000
88e,2013-04-30,0.238,0.238,0.238,0.238,1007.000
a1m,2013-04-30,4.700,5.300,5.300,4.640,124727.000
a2b,2013-04-30,4.780,4.780,4.810,4.770,492455.000
aac,2013-04-30,1.114,1.100,1.119,1.086,136995.000
aaj,2013-04-30,0.043,0.041,0.043,0.038,42617.000
aar,2013-04-30,0.060,0.060,0.060,0.060,15000.000
aba,2013-04-30,5.450,5.600,5.600,5.450,35834.000
abc,2013-04-30,3.380,3.400,3.440,3.250,3886250.000
abl,2013-04-30,0.093,0.093,0.093,0.093,24304.000
abp,2013-04-30,2.291,2.331,2.341,2.281,581779.000
abv,2013-04-30,0.132,0.132,0.132,0.132,24191.000
abw,2013-04-30,1.070,1.070,1.070,1.070,90000.000
abx,2013-04-30,0.190,0.190,0.195,0.190,73000.000
acb,2013-04-30,0.068,0.068,0.068,0.068,51378.000
acf,2013-04-30,43.000,44.000,44.000,43.000,419.000
acr,2013-04-30,4.050,4.040,4.080,4.010,1392685.000
acu,2013-04-30,0.350,0.350,0.350,0.335,55143.000
ada,2013-04-30,0.330,0.330,0.330,0.330,41500.000
adn,2013-04-30,0.064,0.140,0.140,0.064,110941336.000
ado,2013-04-30,0.049,0.048,0.049,0.046,731002.000
ads,2013-04-30,0.030,0.031,0.031,0.029,392010.000
adx,2013-04-30,0.015,0.015,0.015,0.015,6250.000
ady,2013-04-30,0.032,0.030,0.032,0.030,428498.000
aeb,2013-04-30,0.182,0.178,0.182,0.178,240327.000
aee,2013-04-30,0.093,0.100,0.100,0.090,140000.000
aev,2013-04-30,0.138,0.138,0.138,0.138,114904.000
afi,2013-04-30,5.490,5.580,5.600,5.460,635698.000
afr,2013-04-30,0.110,0.101,0.110,0.101,446503.000
age,2013-04-30,0.025,0.026,0.026,0.025,229428.000
agg,2013-04-30,3.780,3.780,3.780,3.780,255.000
agi,2013-04-30,3.710,3.810,3.870,3.710,399529.000
agl,2013-04-30,15.344,15.267,15.392,15.123,1286423.000
agr,2013-04-30,0.400,0.380,0.400,0.380,50000.000
ags,2013-04-30,0.556,0.574,0.574,0.556,5187.000
ahk,2013-04-30,0.120,0.130,0.130,0.120,110000.000
ahl,2013-04-30,5.058,5.058,5.058,5.058,297.000
ahn,2013-04-30,0.037,0.023,0.037,0.018,1011892.000
ahq,2013-04-30,0.175,0.175,0.175,0.175,4000.000
ahz,2013-04-30,27.725,27.725,27.725,27.725,910.000
aia,2013-04-30,2.475,2.534,2.534,2.475,91539.000
aib,2013-04-30,1.030,1.030,1.030,1.030,5034.000
aiq,2013-04-30,0.251,0.251,0.251,0.251,12427.000
ais,2013-04-30,0.264,0.264,0.264,0.264,22753.000
aiz,2013-04-30,1.235,1.240,1.245,1.235,5109.000
ajc,2013-04-30,0.007,0.007,0.007,0.007,229132.000
ajl,2013-04-30,0.921,0.887,0.928,0.887,76573.000
ajm,2013-04-30,0.123,0.132,0.132,0.123,182004.000
ajq,2013-04-30,0.259,0.278,0.278,0.254,521360.000
akm,2013-04-30,0.546,0.529,0.546,0.529,16749.000
akn,2013-04-30,0.053,0.051,0.053,0.051,48803.000
akp,2013-04-30,2.650,2.650,2.650,2.650,8000.000
alc,2013-04-30,0.023,0.024,0.024,0.023,420000.000
ald,2013-04-30,21.650,21.540,21.840,21.440,646074.000
alf,2013-04-30,1.515,1.530,1.540,1.500,537526.000
alk,2013-04-30,0.504,0.549,0.549,0.500,516231.000
all,2013-04-30,3.800,3.940,3.975,3.790,1757418.000
alq,2013-04-30,9.284,9.089,9.386,8.959,2065614.000
alt,2013-04-30,0.018,0.019,0.019,0.017,730090.000
