aar,1996-03-25,1.300,1.300,1.300,1.300,33600.000
aba,1996-03-25,2.746,2.736,2.746,2.736,2312.000
abc,1996-03-25,1.077,1.077,1.112,1.068,321537.000
abl,1996-03-25,0.430,0.430,0.430,0.430,1859.000
adx,1996-03-25,0.431,0.427,0.431,0.427,130796.000
afi,1996-03-25,1.753,1.761,1.761,1.728,210979.000
aft,1996-03-25,0.214,0.235,0.235,0.214,263099.000
ags,1996-03-25,3.735,4.234,4.234,3.735,29052.000
ajc,1996-03-25,1.642,1.733,1.733,1.642,1017.000
ald,1996-03-25,5.080,5.080,5.080,5.080,12100.000
alk,1996-03-25,0.181,0.181,0.181,0.181,860.000
amc,1996-03-25,5.831,5.835,5.931,5.814,2533174.000
ann,1996-03-25,15.000,15.200,15.250,15.000,143920.000
anz,1996-03-25,5.954,6.038,6.038,5.943,1733724.000
apg,1996-03-25,0.106,0.111,0.111,0.106,665010.000
apz,1996-03-25,21.956,21.956,21.956,21.956,66.000
ara,1996-03-25,0.173,0.173,0.178,0.169,100053.000
are,1996-03-25,10.068,10.068,10.068,10.068,496.000
arg,1996-03-25,2.218,2.209,2.243,2.209,72570.000
atp,1996-03-25,0.786,0.835,0.835,0.786,46328.000
aui,1996-03-25,1.842,1.842,1.842,1.842,2905.000
ave,1996-03-25,1.107,1.107,1.115,1.107,16257.000
avg,1996-03-25,0.855,0.828,0.855,0.828,1414.000
avh,1996-03-25,1.430,1.430,1.430,1.430,267.000
awc,1996-03-25,4.011,4.044,4.054,3.998,4453261.000
bbl,1996-03-25,0.240,0.240,0.240,0.240,2000.000
bcb,1996-03-25,18.494,18.494,18.494,18.494,22.000
bel,1996-03-25,0.600,0.600,0.600,0.600,27300.000
ben,1996-03-25,3.945,3.926,3.945,3.926,27570.000
bhp,1996-03-25,7.102,7.125,7.137,7.030,22693864.000
bkl,1996-03-25,2.980,3.000,3.000,2.980,2200.000
bkw,1996-03-25,3.250,3.250,3.250,3.250,17000.000
blu,1996-03-25,0.989,0.989,0.989,0.989,139.000
bnl,1996-03-25,19.950,18.900,19.950,18.900,1627.000
boc,1996-03-25,0.630,0.630,0.630,0.630,100400.000
boq,1996-03-25,4.545,4.629,4.629,4.536,19227.000
bot,1996-03-25,2397.600,2297.700,2397.600,2297.700,3.000
bpt,1996-03-25,0.363,0.363,0.363,0.363,1452.000
bug,1996-03-25,2.210,2.210,2.210,2.210,3620.000
byi,1996-03-25,2.479,2.479,2.479,2.479,11011.000
caa,1996-03-25,22.558,22.871,22.871,22.558,219468.000
cba,1996-03-25,10.180,10.260,10.270,10.180,833396.000
cce,1996-03-25,0.227,0.232,0.232,0.227,269348.000
ccl,1996-03-25,7.532,7.651,7.651,7.532,311415.000
cii,1996-03-25,0.550,0.550,0.550,0.550,1500.000
cim,1996-03-25,3.805,3.786,3.805,3.776,181261.000
cla,1996-03-25,40000.000,40000.000,40000.000,40000.000,0.000
coh,1996-03-25,3.050,3.030,3.050,3.030,4400.000
cpu,1996-03-25,0.018,0.019,0.019,0.018,1163737.000
crl,1996-03-25,0.160,0.170,0.170,0.160,74000.000
csd,1996-03-25,1.191,1.191,1.191,1.191,588.000
csl,1996-03-25,1.551,1.568,1.568,1.544,801212.000
csr,1996-03-25,2.981,3.023,3.030,2.981,1367973.000
ctm,1996-03-25,28.936,28.936,28.936,27.903,2285.000
cto,1996-03-25,0.644,0.634,0.644,0.634,68388.000
cue,1996-03-25,0.095,0.095,0.095,0.095,42165.000
cul,1996-03-25,2.955,3.140,3.140,2.955,271.000
cvc,1996-03-25,0.185,0.185,0.185,0.185,20000.000
cvn,1996-03-25,0.544,0.544,0.561,0.544,10615.000
cwp,1996-03-25,0.900,0.900,0.900,0.900,500.000
cwz,1996-03-25,0.115,0.115,0.115,0.115,1587.000
cxz,1996-03-25,47.471,47.471,47.471,47.471,1074.000
cyg,1996-03-25,3.889,3.889,3.889,3.889,5034.000
cyq,1996-03-25,1.428,1.428,1.428,1.428,1448.000
djw,1996-03-25,2.669,2.660,2.669,2.660,49266.000
dlc,1996-03-25,0.046,0.048,0.048,0.046,2677617.000
dui,1996-03-25,0.936,0.936,0.936,0.936,12117.000
dvn,1996-03-25,1.128,1.089,1.138,1.089,53491.000
