14d,2019-06-06,0.300,0.295,0.300,0.295,43636.000
1ad,2019-06-06,0.160,0.160,0.160,0.160,17000.000
1st,2019-06-06,0.049,0.047,0.049,0.047,525000.000
360,2019-06-06,3.700,3.700,3.850,3.700,19439.000
3dp,2019-06-06,0.042,0.040,0.042,0.040,548990.000
3pl,2019-06-06,1.020,1.015,1.020,1.015,43000.000
4ce,2019-06-06,0.010,0.011,0.011,0.010,275736.000
4ds,2019-06-06,0.064,0.062,0.064,0.061,1819294.000
5gn,2019-06-06,1.260,1.220,1.275,1.220,247077.000
88e,2019-06-06,0.017,0.017,0.017,0.016,5516446.000
8co,2019-06-06,0.155,0.165,0.165,0.155,98433.000
8ec,2019-06-06,0.820,0.800,0.820,0.795,72945.000
9sp,2019-06-06,0.016,0.016,0.017,0.016,894535.000
a1g,2019-06-06,0.165,0.150,0.165,0.150,80000.000
a1m,2019-06-06,0.310,0.315,0.320,0.310,1846.000
a2b,2019-06-06,1.760,1.755,1.780,1.750,55786.000
a2m,2019-06-06,13.400,13.450,13.660,13.310,3036642.000
a3d,2019-06-06,0.345,0.330,0.345,0.330,38488.000
a40,2019-06-06,0.180,0.175,0.180,0.175,733323.000
a4n,2019-06-06,0.130,0.130,0.135,0.130,256615.000
aac,2019-06-06,1.045,1.005,1.050,1.000,262335.000
aaj,2019-06-06,0.004,0.004,0.004,0.004,1425000.000
aar,2019-06-06,0.066,0.067,0.067,0.066,63767.000
aba,2019-06-06,5.070,5.090,5.090,5.060,44187.000
abc,2019-06-06,3.910,3.960,4.010,3.900,2497488.000
abp,2019-06-06,4.030,4.120,4.160,4.030,1270087.000
abr,2019-06-06,0.200,0.195,0.200,0.195,364322.000
abv,2019-06-06,0.019,0.019,0.019,0.019,100053.000
abx,2019-06-06,0.120,0.115,0.125,0.115,85250.000
ac8,2019-06-06,0.340,0.330,0.345,0.330,552853.000
acf,2019-06-06,0.315,0.315,0.320,0.315,174985.000
acq,2019-06-06,1.015,1.010,1.015,1.010,49782.000
acr,2019-06-06,0.200,0.195,0.200,0.195,143982.000
acw,2019-06-06,0.012,0.011,0.012,0.011,250000.000
ad1,2019-06-06,0.017,0.017,0.017,0.017,112711.000
ad8,2019-06-06,7.540,7.910,7.990,7.500,759855.000
ada,2019-06-06,0.630,0.620,0.630,0.620,21335.000
adh,2019-06-06,2.080,2.010,2.090,2.000,428949.000
adi,2019-06-06,2.840,2.870,2.920,2.830,284363.000
adn,2019-06-06,0.010,0.010,0.010,0.010,13030391.000
ado,2019-06-06,0.015,0.013,0.015,0.012,10228115.000
adr,2019-06-06,0.023,0.025,0.025,0.023,64308.000
adt,2019-06-06,0.947,0.910,0.947,0.910,176799.000
adv,2019-06-06,0.003,0.003,0.003,0.003,290000.000
adx,2019-06-06,0.006,0.007,0.007,0.006,1170776.000
