1ag,2009-08-05,0.258,0.258,0.258,0.258,8141.000
88e,2009-08-05,0.035,0.035,0.035,0.035,23295.000
a1m,2009-08-05,7.400,7.000,7.400,6.800,84359.000
a2b,2009-08-05,5.160,5.190,5.230,5.130,527380.000
aac,2009-08-05,1.307,1.326,1.344,1.302,1891787.000
aar,2009-08-05,0.270,0.260,0.270,0.260,20000.000
aba,2009-08-05,8.000,8.000,8.000,7.950,4876.000
abc,2009-08-05,2.450,2.410,2.470,2.400,1410592.000
abl,2009-08-05,0.826,0.797,0.856,0.797,16770.000
abp,2009-08-05,1.793,1.743,1.793,1.743,776731.000
abv,2009-08-05,0.132,0.132,0.132,0.132,35249.000
abw,2009-08-05,0.959,0.959,0.959,0.959,11998.000
ac8,2009-08-05,0.113,0.113,0.132,0.113,35794.000
acb,2009-08-05,0.365,0.355,0.365,0.355,103523.000
acr,2009-08-05,1.235,1.205,1.240,1.190,96533.000
add,2009-08-05,0.512,0.531,0.569,0.474,85725.000
adn,2009-08-05,0.077,0.077,0.084,0.077,277782.000
ado,2009-08-05,0.009,0.009,0.009,0.009,61526.000
ads,2009-08-05,0.086,0.083,0.087,0.083,241311.000
adx,2009-08-05,0.109,0.109,0.109,0.104,423510.000
ady,2009-08-05,0.090,0.081,0.090,0.076,5194737.000
aee,2009-08-05,0.146,0.141,0.146,0.141,82332.000
aev,2009-08-05,0.463,0.437,0.467,0.437,967929.000
afi,2009-08-05,4.980,5.000,5.010,4.940,402994.000
afl,2009-08-05,77.697,75.754,77.697,73.812,353.000
afr,2009-08-05,0.071,0.063,0.071,0.058,537052.000
agg,2009-08-05,9.450,9.500,9.500,9.450,623.000
agl,2009-08-05,13.131,13.029,13.225,13.029,1732346.000
ags,2009-08-05,2.982,2.945,3.019,2.945,91463.000
ahl,2009-08-05,84.543,84.543,84.543,84.543,68.000
aia,2009-08-05,1.381,1.386,1.386,1.376,19752.000
aiq,2009-08-05,1.024,1.087,1.106,1.024,1915141.000
aiv,2009-08-05,0.242,0.266,0.266,0.242,76310.000
aiz,2009-08-05,0.910,0.910,0.910,0.910,59000.000
ajl,2009-08-05,2.364,2.344,2.371,2.337,161282.000
ajm,2009-08-05,0.108,0.104,0.108,0.104,5394.000
akm,2009-08-05,0.218,0.193,0.218,0.193,31903.000
