csl, 2019-08-09, 222.79, 220.02, 223.7, 219.14, 629778
cba, 2019-08-09, 79.61, 79.42, 79.8, 79.09, 4335354
bhp, 2019-08-09, 37.57, 37.29, 37.72, 37.16, 6156851
wbc, 2019-08-09, 28.3, 28.21, 28.3, 27.96, 4383258
nab, 2019-08-09, 27.8, 27.65, 27.82, 27.54, 4380961
wow, 2019-08-09, 35.34, 35.4, 35.52, 35.23, 1610345
anz, 2019-08-09, 26.93, 27, 27.08, 26.82, 3574197
wes, 2019-08-09, 38.52, 38.79, 38.88, 38.38, 1660299
tcl, 2019-08-09, 15.22, 15.12, 15.22, 15.1, 14586560
tls, 2019-08-09, 3.98, 3.98, 4.01, 3.95, 32269947
fmg, 2019-08-09, 7.44, 7.26, 7.53, 7.21, 21174512
mqg, 2019-08-09, 122.45, 122.78, 123.11, 122.25, 651670
rio, 2019-08-09, 88.8, 87.69, 89.59, 87.51, 2229826
gmg, 2019-08-09, 14.83, 14.91, 14.92, 14.595, 2656275
ncm, 2019-08-09, 38.35, 38.62, 38.75, 38.07, 3944904
wpl, 2019-08-09, 33.25, 33.17, 33.39, 33.03, 1641114
col, 2019-08-09, 13.64, 13.52, 13.69, 13.465, 4825433
bxb, 2019-08-09, 13.09, 13.13, 13.16, 12.965, 2249645
fph, 2019-08-09, 15.33, 15.28, 15.38, 15.22, 212203
all, 2019-08-09, 29.54, 29.42, 29.82, 29.25, 1258225
asx, 2019-08-09, 87.09, 86.83, 87.26, 86.34, 301737
rhc, 2019-08-09, 68.8, 69.3, 69.55, 68.36, 247425
amc, 2019-08-09, 15.62, 15.54, 15.62, 15.49, 1835762
apa, 2019-08-09, 10.9, 10.79, 11, 10.66, 1664501
a2m, 2019-08-09, 15.5, 15.23, 15.63, 15.15, 4312081
shl, 2019-08-09, 27.79, 27.7, 27.89, 27.49, 740411
iag, 2019-08-09, 7.56, 7.68, 7.7, 7.52, 8347545
syd, 2019-08-09, 8.35, 8.35, 8.375, 8.26, 2247967
coh, 2019-08-09, 211.58, 210.25, 212.99, 209.24, 80462
rea, 2019-08-09, 87.82, 96.64, 97.45, 87.75, 599811
xro, 2019-08-09, 62.4, 61.08, 62.7, 61.03, 298060
apt, 2019-08-09, 24.4, 24.17, 24.9, 23.35, 3440710
qbe, 2019-08-09, 11.77, 11.8, 11.85, 11.68, 3022710
sun, 2019-08-09, 13.821258, 14.21262, 14.21262, 13.790361, 7222132
scg, 2019-08-09, 4, 4, 4.02, 3.95, 6095182
agl, 2019-08-09, 19.15, 19.25, 19.3, 19.01, 2821398
nst, 2019-08-09, 13.64, 13.27, 13.67, 13.165, 2729875
dxs, 2019-08-09, 13.41, 13.29, 13.425, 13.135, 1664469
mfg, 2019-08-09, 60.26, 60.75, 61.53, 59.41, 682651
sto, 2019-08-09, 6.78, 6.76, 6.8, 6.665, 6520025
jhx, 2019-08-09, 20.99, 21.68, 21.89, 20.7, 5688680
evn, 2019-08-09, 5.47, 5.46, 5.51, 5.38, 6984564
org, 2019-08-09, 7.18, 7.16, 7.225, 7.15, 4596438
rmd, 2019-08-09, 19.16, 19.15, 19.21, 19.12, 1331647
azj, 2019-08-09, 5.82, 5.75, 5.83, 5.74, 7599948
s32, 2019-08-09, 2.86, 2.88, 2.92, 2.855, 18598107
mgr, 2019-08-09, 3.29, 3.29, 3.33, 3.25, 10207286
mpl, 2019-08-09, 3.41, 3.44, 3.44, 3.4, 5306160
aia, 2019-08-09, 9.21, 9.31, 9.4, 9.1, 77163
spk, 2019-08-09, 3.95, 3.92, 3.95, 3.92, 882283
gpt, 2019-08-09, 6.29, 6.25, 6.34, 6.2, 4111403
llc, 2019-08-09, 14.13, 14.08, 14.28, 13.94, 1418099
cim, 2019-08-09, 33.45, 33.16, 33.92, 32.95, 557389
twe, 2019-08-09, 16.6, 16.58, 16.82, 16.46, 2893986
ast, 2019-08-09, 1.8, 1.785, 1.802, 1.765, 5339200
afi, 2019-08-09, 6.25, 6.27, 6.28, 6.24, 290304
tpm, 2019-08-09, 6.71, 6.9, 6.965, 6.7, 761986
ori, 2019-08-09, 21.5, 21.77, 22.11, 21.39, 1186720
sgp, 2019-08-09, 4.55, 4.6, 4.61, 4.51, 5421706
cpu, 2019-08-09, 15.07, 14.95, 15.2, 14.92, 1389762
tah, 2019-08-09, 4.36, 4.38, 4.39, 4.32, 4974449
ccl, 2019-08-09, 10.36, 10.29, 10.4, 10.255, 3383345
cwn, 2019-08-09, 11.44, 11.41, 11.55, 11.29, 1469230
ctx, 2019-08-09, 26.4, 26.7, 27.16, 26.33, 861122
wtc, 2019-08-09, 27.36, 27.46, 28.2, 27.1, 906576
sek, 2019-08-09, 19.22, 19.23, 19.35, 19.1, 950038
mcy, 2019-08-09, 4.81, 4.71, 4.81, 4.71, 10501
osh, 2019-08-09, 6.811056, 6.830544, 6.874392, 6.781824, 3784207
mez, 2019-08-09, 4.69, 4.68, 4.78, 4.61, 149908
reh, 2019-08-09, 10.004545, 10.004545, 10.19331, 9.99461, 26838
alx, 2019-08-09, 8.0729, 8.003985, 8.13197, 7.95476, 1489364
sar, 2019-08-09, 4.56072, 4.482256, 4.580336, 4.452832, 5663429
arg, 2019-08-09, 8.25, 8.28, 8.31, 8.25, 150744
vcx, 2019-08-09, 2.53, 2.52, 2.54, 2.5, 6326915
qan, 2019-08-09, 5.68, 5.74, 5.76, 5.67, 4303091
dmp, 2019-08-09, 38.02, 38.7, 39.105, 38.01, 299891
bsl, 2019-08-09, 12.35, 12.24, 12.4, 12.16, 2716627
amp, 2019-08-09, 1.73, 1.93, 1.942, 1.715, 96077998
vas, 2019-08-09, 83.45, 83.43, 83.55, 83.1, 90562
svw, 2019-08-09, 16.16, 16.09, 16.22, 16.01, 796962
alu, 2019-08-09, 33.31, 33.06, 34.19, 32.89, 782566
qub, 2019-08-09, 3.03072, 3.03072, 3.0504, 3.0012, 2182873
sol, 2019-08-09, 21.17, 20.91, 21.3, 20.89, 358997
nxt, 2019-08-09, 6.28, 6.34, 6.45, 6.28, 1128427
awc, 2019-08-09, 2.29, 2.28, 2.35, 2.25, 22712032
wor, 2019-08-09, 14.23, 13.95, 14.27, 13.92, 1581025
iel, 2019-08-09, 18.91, 18.91, 19.05, 18.66, 482350
ann, 2019-08-09, 26.01, 25.87, 26.16, 25.78, 605524
jbh, 2019-08-09, 27.91, 27.96, 28.29, 27.775, 519019
ipl, 2019-08-09, 3.27, 3.29, 3.31, 3.25, 2303873
cwy, 2019-08-09, 2.33, 2.31, 2.34, 2.29, 4196379
chc, 2019-08-09, 11.78, 11.85, 11.97, 11.6, 1578431
apx, 2019-08-09, 26.35, 25.43, 26.43, 25.37, 894897
hvn, 2019-08-09, 4.118643, 4.196907, 4.20669, 4.089294, 2971974
car, 2019-08-09, 14, 14.09, 14.1, 13.86, 517465
ski, 2019-08-09, 2.35, 2.34, 2.36, 2.33, 3720804
stw, 2019-08-09, 61.16, 61.1, 61.2, 60.85, 152827
ebo, 2019-08-09, 22.89, 22.89, 22.89, 22.89, 50
min, 2019-08-09, 14.81, 14.54, 14.94, 14.47, 1703767
bpt, 2019-08-09, 1.93, 1.885, 1.945, 1.875, 11064138
bld, 2019-08-09, 5.15, 5.08, 5.17, 5.08, 4000282
tne, 2019-08-09, 7.43, 7.23, 7.46, 7.23, 1271076
ilu, 2019-08-09, 8.44, 8.7, 8.8, 8.43, 4443188
ivv, 2019-08-09, 432.6, 431.8, 433.73, 431.5, 9586
cnu, 2019-08-09, 5.45, 5.49, 5.5, 5.45, 438838
ben, 2019-08-09, 10.78, 10.75, 10.83, 10.63, 2119317
ora, 2019-08-09, 3.2, 3.22, 3.26, 3.19, 1543719
alq, 2019-08-09, 7.2, 7.18, 7.21, 7.085, 2144410
yal, 2019-08-09, 3.4, 3.45, 3.47, 3.4, 3519
ift, 2019-08-09, 4.64, 4.66, 4.66, 4.64, 3031
ozl, 2019-08-09, 9.57, 9.48, 9.61, 9.44, 1635555
gne, 2019-08-09, 3.36, 3.31, 3.41, 3.31, 49882
vea, 2019-08-09, 2.28, 2.3, 2.33, 2.28, 1440415
igo, 2019-08-09, 5.67, 5.75, 5.76, 5.59, 3157882
pme, 2019-08-09, 28.76, 28.92, 29.99, 28.01, 555884
cgf, 2019-08-09, 6.66, 6.57, 6.68, 6.55, 2127647
brg, 2019-08-09, 18.62, 18.83, 18.9, 18.39, 180188
fbu, 2019-08-09, 4.52, 4.51, 4.575, 4.5, 662996
mlt, 2019-08-09, 4.68, 4.68, 4.71, 4.66, 175398
rrl, 2019-08-09, 6.18, 6.05, 6.205, 6.02, 3710024
sdf, 2019-08-09, 3.62, 3.67, 3.69, 3.62, 1838079
pmv, 2019-08-09, 14.56, 14.47, 14.63, 14.355, 456913
mts, 2019-08-09, 2.87, 2.87, 2.93, 2.85, 2656284
sgr, 2019-08-09, 3.72, 3.69, 3.74, 3.69, 7297819
dow, 2019-08-09, 7.29, 7.4, 7.46, 7.22, 2509441
scp, 2019-08-09, 2.57, 2.55, 2.57, 2.535, 4312742
nec, 2019-08-09, 1.88, 1.875, 1.9, 1.845, 8553264
goz, 2019-08-09, 4.38, 4.36, 4.4, 4.32, 402472
bwp, 2019-08-09, 3.81, 3.83, 3.85, 3.79, 1137820
mgg, 2019-08-09, 1.85, 1.815, 1.855, 1.815, 932010
ptm, 2019-08-09, 4.41, 4.4, 4.45, 4.375, 898433
nhf, 2019-08-09, 7.69, 7.78, 7.79, 7.525, 680370
boq, 2019-08-09, 9.14, 9.08, 9.16, 9.01, 1536137
nan, 2019-08-09, 5.24, 5.36, 5.38, 5.18, 1111111
mp1, 2019-08-09, 7.3, 7.28, 7.47, 7.23, 330393
hta, 2019-08-09, 0.12, 0.115, 0.12, 0.115, 102037
flt, 2019-08-09, 45, 44.84, 45.37, 44.57, 191465
clw, 2019-08-09, 5.20811025, 5.23787088, 5.26763151, 5.173389515, 577992
msb, 2019-08-09, 1.47, 1.47, 1.49, 1.44, 474478
bkw, 2019-08-09, 16, 15.97, 16.14, 15.88, 113405
sbm, 2019-08-09, 3.98, 3.96, 4.02, 3.94, 5594599
cmw, 2019-08-09, 1.21, 1.225, 1.23, 1.195, 6756674
rwc, 2019-08-09, 3.24, 3.27, 3.28, 3.19, 4976620
nuf, 2019-08-09, 4.7, 4.7, 4.745, 4.63, 2133568
ire, 2019-08-09, 12.74, 12.69, 12.87, 12.67, 412260
ioz, 2019-08-09, 26.88, 26.86, 26.9, 26.78, 123737
pdl, 2019-08-09, 7.1, 7.14, 7.17, 7.07, 1390281
pph, 2019-08-09, 3.09, 3.11, 3.13, 3.08, 95954
lnk, 2019-08-09, 4.76, 4.82, 4.85, 4.75, 2355007
whc, 2019-08-09, 3.49, 3.41, 3.49, 3.395, 4709002
nwl, 2019-08-09, 7.65, 7.63, 7.89, 7.56, 274637
slr, 2019-08-09, 1.26, 1.28, 1.315, 1.26, 4704760
ioo, 2019-08-09, 70.99, 70.94, 71, 70.25, 20392
csr, 2019-08-09, 3.98, 3.96, 4.03, 3.96, 1567164
