a1m,1995-03-20,24.514,24.514,24.514,24.514,106.000
aar,1995-03-20,0.529,0.529,0.529,0.529,2288.000
abc,1995-03-20,1.244,1.244,1.261,1.244,308977.000
ady,1995-03-20,0.813,0.813,0.813,0.813,98.000
afa,1995-03-20,0.424,0.424,0.424,0.424,236.000
afi,1995-03-20,1.578,1.563,1.586,1.556,104407.000
ajc,1995-03-20,1.216,1.216,1.216,1.216,181.000
ald,1995-03-20,3.500,3.550,3.550,3.500,11800.000
alk,1995-03-20,0.195,0.195,0.195,0.195,1612.000
alq,1995-03-20,0.528,0.528,0.528,0.528,66334.000
amc,1995-03-20,6.592,6.582,6.603,6.568,1200078.000
ann,1995-03-20,14.050,14.000,14.150,13.900,142380.000
ans,1995-03-20,0.080,0.080,0.080,0.080,61512.000
anz,1995-03-20,4.653,4.595,4.653,4.538,1239690.000
apg,1995-03-20,0.191,0.191,0.191,0.191,16894.000
ara,1995-03-20,0.262,0.262,0.262,0.262,4587.000
are,1995-03-20,30.641,29.766,30.641,29.766,2490.000
arg,1995-03-20,1.857,1.864,1.872,1.857,63861.000
atp,1995-03-20,0.412,0.422,0.422,0.412,34619.000
avg,1995-03-20,0.662,0.644,0.662,0.644,17288.000
avh,1995-03-20,1.356,1.356,1.356,1.356,267.000
awc,1995-03-20,3.177,3.168,3.177,3.145,3781412.000
bbl,1995-03-20,0.260,0.260,0.260,0.260,7000.000
bd1,1995-03-20,2.035,2.035,2.035,2.035,19209.000
bel,1995-03-20,0.728,0.700,0.728,0.700,101275.000
ben,1995-03-20,3.208,3.208,3.208,3.198,13472.000
bhp,1995-03-20,6.078,6.039,6.078,6.025,3053473.000
bkw,1995-03-20,2.400,2.400,2.400,2.400,41000.000
bnl,1995-03-20,4.168,4.024,4.168,3.880,37992.000
boc,1995-03-20,0.660,0.660,0.660,0.660,3800.000
boq,1995-03-20,4.166,4.212,4.212,4.166,22684.000
bot,1995-03-20,2317.680,2317.680,2317.680,2297.700,52.000
bpt,1995-03-20,0.427,0.406,0.427,0.406,38075.000
bub,1995-03-20,0.482,0.401,0.482,0.401,10964.000
caa,1995-03-20,15.665,15.665,15.665,15.665,1596.000
cba,1995-03-20,9.168,9.139,9.169,9.129,357155.000
cce,1995-03-20,0.089,0.089,0.089,0.089,20259.000
ccl,1995-03-20,4.812,4.750,4.812,4.722,319739.000
cim,1995-03-20,2.111,2.033,2.130,2.033,58355.000
clx,1995-03-20,0.210,0.210,0.210,0.210,83792.000
cpu,1995-03-20,0.012,0.012,0.012,0.012,413777.000
csl,1995-03-20,0.855,0.855,0.855,0.851,170606.000
csr,1995-03-20,3.097,3.016,3.100,3.016,1295164.000
ct1,1995-03-20,23.860,23.860,23.860,23.860,78.000
ctm,1995-03-20,9.301,9.301,9.301,9.301,48.000
cto,1995-03-20,0.596,0.605,0.605,0.596,52566.000
cvc,1995-03-20,0.180,0.180,0.180,0.180,106000.000
cvn,1995-03-20,0.577,0.577,0.577,0.577,1456.000
cwp,1995-03-20,0.410,0.400,0.410,0.400,10000.000
