14d,2021-10-15,0.120,0.125,0.130,0.120,298462.000
1ad,2021-10-15,0.089,0.086,0.090,0.086,170384.000
1st,2021-10-15,0.018,0.018,0.018,0.017,104398.000
360,2021-10-15,9.340,9.250,9.340,9.080,238321.000
3da,2021-10-15,0.390,0.450,0.450,0.385,590986.000
3dp,2021-10-15,0.470,0.455,0.470,0.440,454035.000
3pl,2021-10-15,1.255,1.255,1.260,1.255,28623.000
5gn,2021-10-15,0.925,0.930,0.935,0.925,116507.000
88e,2021-10-15,0.031,0.031,0.033,0.031,65919734.000
8co,2021-10-15,0.170,0.170,0.170,0.165,739178.000
8ih,2021-10-15,0.280,0.280,0.280,0.280,28500.000
8vi,2021-10-15,5.200,5.250,5.250,5.200,7346.000
9sp,2021-10-15,0.014,0.014,0.014,0.013,528467.000
a1g,2021-10-15,0.230,0.230,0.235,0.230,61177.000
a2b,2021-10-15,1.325,1.325,1.325,1.300,73954.000
a2m,2021-10-15,6.900,6.720,7.000,6.690,7197722.000
a3d,2021-10-15,0.125,0.130,0.130,0.125,253783.000
a4n,2021-10-15,0.500,0.495,0.515,0.485,2474295.000
aac,2021-10-15,1.455,1.455,1.468,1.450,130165.000
aaj,2021-10-15,0.081,0.083,0.083,0.079,237514.000
aap,2021-10-15,0.030,0.030,0.030,0.030,5938.000
aar,2021-10-15,0.081,0.081,0.081,0.080,606948.000
aba,2021-10-15,6.860,6.810,6.890,6.810,4482.000
abc,2021-10-15,3.190,3.210,3.220,3.180,1254130.000
abp,2021-10-15,3.570,3.640,3.640,3.520,1888120.000
abr,2021-10-15,1.560,1.600,1.640,1.515,1039356.000
abv,2021-10-15,0.035,0.034,0.035,0.034,5183.000
abx,2021-10-15,0.110,0.110,0.110,0.105,627060.000
ac8,2021-10-15,0.093,0.091,0.093,0.089,168261.000
acb,2021-10-15,0.079,0.068,0.079,0.068,954206.000
acf,2021-10-15,0.465,0.465,0.465,0.455,69375.000
acp,2021-10-15,0.012,0.014,0.016,0.012,5521790.000
acq,2021-10-15,1.675,1.660,1.675,1.660,24498.000
acr,2021-10-15,0.115,0.120,0.120,0.115,50346.000
acu,2021-10-15,0.170,0.160,0.175,0.160,150796.000
acw,2021-10-15,0.110,0.100,0.110,0.100,3425476.000
